,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize
1,2,3,164,2,1,6,8,5,4
2,0,3,164,1,0,0,8,4,2
3,1,3,165,1,0,1,4,4,2
4,0,2,150,1,0,3,8,6,1
6,1,3,165,1,0,3,4,4,4
7,0,3,125,1,0,3,8,2,7
8,0,2,38,3,0,0,8,4,5
10,1,2,165,1,0,0,5,2,3
11,0,0,33,1,0,0,8,0,3
13,0,3,57,1,0,6,8,4,7
14,0,2,164,1,0,4,6,2,5
17,0,3,165,3,0,0,8,2,0
18,0,2,165,1,0,0,8,0,2
19,0,2,60,1,0,1,3,4,7
20,0,2,27,1,0,0,8,4,2
21,0,2,164,1,0,0,3,0,4
22,0,0,76,1,0,0,6,0,6
24,0,2,18,1,0,3,8,6,4
25,0,2,165,1,0,3,8,4,2
26,0,0,71,1,0,0,8,6,5
27,0,2,165,1,0,0,0,0,3
28,1,3,76,1,0,6,6,0,1
29,1,2,165,1,0,0,0,4,2
30,0,0,76,3,0,0,8,6,4
31,0,2,36,3,0,6,8,0,7
34,0,2,40,2,0,0,6,0,1
35,0,2,77,1,0,3,8,6,7
36,0,2,9,1,0,6,7,0,6
37,0,3,57,1,0,6,13,2,3
39,0,2,165,1,0,6,7,0,8
40,1,3,165,1,0,0,6,2,0
42,0,2,162,1,0,3,7,6,3
44,0,2,165,1,0,0,7,0,2
46,3,0,165,1,0,0,8,2,3
47,0,2,146,3,0,0,8,0,6
48,0,2,97,1,0,6,8,1,1
50,0,2,76,1,0,0,8,6,4
51,0,0,165,1,0,3,8,4,2
52,0,2,27,1,0,0,6,0,0
53,0,3,164,1,0,0,8,0,7
54,0,0,57,1,0,3,8,0,0
57,0,3,77,1,0,3,8,0,3
58,0,0,159,3,0,0,7,4,0
59,0,1,125,1,0,3,6,6,6
60,1,2,33,1,0,0,6,3,2
61,0,2,71,1,0,0,8,0,5
63,0,0,164,1,0,3,15,0,3
64,0,0,110,1,0,3,8,0,2
65,0,2,125,1,0,0,8,6,4
66,0,0,71,1,0,0,8,5,5
67,0,2,165,1,0,0,6,0,2
69,0,2,145,1,0,0,7,6,4
